DSrev,E1,P1,P2,P3
1.35,,,,8.00
21.20,25.00,55.00,18.00,28.00
4.37,3.00,14.00,,9.00
3.53,0.00,4.00,4.00,12.00
12.45,2.00,16.00,29.00,27.00
11.10,4.00,12.00,21.00,29.00
11.53,6.00,29.00,9.50,23.00
5.89,5.00,8.00,15.00,10.00
7.07,4.00,9.00,,29.00
4.71,,11.00,,17.00
6.23,2.00,1.00,5.00,29.00
7.57,,18.00,4.00,23.00
8.24,,6.00,17.00,29.00
4.21,0.00,7.00,7.00,12.00
8.41,8.00,3.00,7.00,32.00
9.93,2.00,15.00,21.00,21.00
6.39,,6.00,12.00,20.00
8.75,,28.00,21.00,3.00
8.24,0.00,0.00,35.00,15.00
11.44,3.00,22.00,26.00,18.00
9.42,4.00,19.00,8.00,25.00
6.06,,,10.00,27.00
4.54,2.00,3.00,8.00,18.00
8.08,,24.00,2.00,22.00
13.63,4.00,23.00,28.00,26.00
0.67,,0.00,,4.00
6.56,0.00,5.00,6.00,28.00
9.09,8.00,8.00,7.00,32.00
13.29,4.00,39.00,20.00,16.00
8.58,1.00,7.00,12.00,32.00
6.56,1.00,9.00,10.00,21.00
9.42,15.00,1.00,21.00,19.00
13.12,3.00,19.00,21.00,35.00
14.47,3.00,13.00,12.00,57.00
7.23,2.00,17.00,13.00,11.00
9.76,0.00,18.00,7.00,34.00
3.53,,0.00,6.00,15.00
7.57,-1.00,10.00,19.00,18.00
4.54,5.00,3.00,0.00,20.00
2.69,,13.00,1.00,5.00
6.56,2.00,7.00,12.00,18.00
